,Unnamed: 0,similarity,sentence1,sentence2,label
2556,2556,contradiction,"2 girls are standing on poles, facing one direction.",The girls are sunbathing at the beach.,0
2557,2557,neutral,An old man wit a straw hat and umbrella is smiling while sitting and watching something in the distance.,The hat is dirty.,2
2558,2558,neutral,"The players of the baseball team are standing on the field, with many people watching from the stands.",A baseball game is tied in the ninth inning.,2
2559,2559,contradiction,People hang upside down as a roller coaster executes a spiral loop-the-loop.,The people are playing a game of baseball to get some exercise and pass the time.,0
2560,2560,entailment,A closeup of a man riding a bicycle.,man rides bike,1
2561,2561,contradiction,Man and child dancing.,The man and child are sleeping.,0
2562,2562,entailment,A blond woman in a long dress sings while a man plays trumpet.,A woman in a dress sings while the man plays trumpet.,1
2563,2563,neutral,People cheering at a gathering.,People celebrating,2
2564,2564,neutral,"Before onlookers in a park, a man in a black shirt and rollerblades slides backward down a railing.",A man is showing off for a girl by rollerblading.,2
2565,2565,contradiction,An asian man throwing a dart with a group of other men.,A group of students sit at their desks in a classroom.,0
2566,2566,entailment,"One men is laughing while being kissed on the cheek by another man, both men are wearing formal wear",One man kisses another man.,1
2567,2567,neutral,Man escaping a straitjacket while many people watch.,"A magician is trying to escape a straitjacket, while pedestrians watch.",2
2568,2568,entailment,"A man, a woman, and a young girl, rest with water in front of a camper.",People in front of a camper.,1
2569,2569,entailment,Two dogs play in the snow together.,a couple of animals playing outside,1
2570,2570,contradiction,"A young boy, wearing suspenders and a red flannel shirt, hits a piece of metal on an anvil.",A young man role plays a character in Skyrim.,0
2571,2571,entailment,A man and a woman are sitting on the deck of a boat.,They are on the deck.,1
2572,2572,entailment,"A woman in a navy blue shirt and jeans stands in front of a metal building, her hand resting on a fence, with her black and white dog lying in front of her.",a lady in jeans stands outside,1
2573,2573,neutral,A dirty jeep is stuck in the mud.,A jeep is stuck in the mud after offroading.,2
2574,2574,neutral,"A man leaning back, smoking a cigarette near the water.",The man is smoking his last cigarette.,2
2575,2575,entailment,A man with a blue shirt is working on building a roof.,A man in a blue shirt is building something.,1
2576,2576,neutral,seniors walking on the street in a clear day,Seniors are walking down the street to get to the nearest IHOP.,2
2577,2577,neutral,A female skier holding two ski poles wearing a white knit hat.,The skier held two ski poles and waited for the instructor.,2
2578,2578,entailment,A barefoot man on a hill side is bent over.,The man is outside.,1
2579,2579,entailment,A young black man wearing a red shirt and jeans is holding a bunch of weeds.,There is a young man dressing in a red wardrobe holding yard scarps.,1
2580,2580,neutral,A man in a red tee-shirt steers his bicycle-like vehicle on a street in Santo Domingo.,A sad man in a red tee-shirt steers his bicycle-like vehicle on a street in Santo Domingo.,2
2581,2581,contradiction,"A African man is pushing a very heavy cart, full of supplies.",The woman pushes the cart,0
2582,2582,entailment,Two women and a man are wearing medieval blue and gold robes and red hats are playing wind and brass instruments.,There are three people using instruments.,1
2583,2583,contradiction,A man with a red helmet is riding on a red bicycle.,they are rowing a boat,0
2584,2584,neutral,"There is a surfer in the water, wearing a red and black bodysuit, catching a wave with his hands out for balance.",There is a surfer wearing light red and black.,2
2585,2585,neutral,A man in a suit is speaking at a lectern.,The man is moderating a panel.,2
2586,2586,contradiction,"One Caucasian woman walks among an ethnically diverse group of pedestrians, crossing the street during the day in an urban environment.",The woman is skiing down a mountain.,0
2587,2587,contradiction,Two young women are seated at a sidewalk table.,Two young women are at a doctor's office.,0
2588,2588,neutral,A man wearing dirty clothes is sleeping on the sidewalk.,a hobo sleeps outside,2
2589,2589,neutral,Two men playing guitar at a concert.,two guitar players are playing a concert with their band,2
2590,2590,neutral,Man and woman standing next to a hang glider with mountains in the background.,The woman is grabbing the hang glider while the man looks on.,2
2591,2591,entailment,Two women are sitting at a table and drinking beer.,Two ladies have a beer after work.,1
2592,2592,entailment,Old people sitting on a bench staring at a odd shaped balloon.,There are old people with odd shaped balloons sitting on bench.,1
2593,2593,neutral,"Three backpackers, one in the foreground and two in the background, hike in the wilderness during a snowstorm.",Three people fight for survival in a snowstorm.,2
2594,2594,contradiction,Seven people of Asian descent are expressing happiness standing in front of a stone dragon statue in a park in winter time.,The Asian people are looking at the monument and do not like the heat of the summer.,0
2595,2595,contradiction,A woman stops to look at some wedding gowns.,A woman is at work.,0
2596,2596,neutral,"A man with a white hat and brown shirt, behind a woman in red, looks to the left.",A man sitting behind a woman.,2
2597,2597,entailment,A group of men in camouflage pants and white t-shirts are running in a drill yard.,The group of men are outdoors running around.,1
2598,2598,neutral,An older man in a tank top and a younger girl in striped shirt pose on a couch.,A man and his daughter posing on a couch.,2
2599,2599,contradiction,Two young boys are playing soccer.,The boys are sitting at their desk in detention.,0
2600,2600,contradiction,A Japanese crowded is gathered for an event.,One person is at an event.,0
2601,2601,contradiction,Two dogs playing on carpet.,The dogs are in kennels.,0
2602,2602,neutral,A man in the suit plays a guitar while sitting on a metal chair.,The man is singing,2
2603,2603,contradiction,Soccer game with teams in red and blue.,The teams are rebuilding cars.,0
2604,2604,entailment,A music group is playing music outdoors.,There is a band playing music outdoor.,1
2605,2605,entailment,"An African American base player wearing a blue shirt, being backed up by a drummer.",A drummer is backing up a base player.,1
2606,2606,entailment,The boy and girl pose for a picture with a large red flower above their heads.,The boy and girl are having their picture taken.,1
2607,2607,contradiction,The little boy in the green jacket is riding a skateboard on a ramp.,boy on rollercoaster,0
2608,2608,neutral,A wedding couple are being photographed on a street corner amongst passersby and traffic.,A wedding couple are being photographed on a busy street corner amongst passersby and traffic.,2
2609,2609,contradiction,A woman wearing a metallic headdress and costume is swirling colorful scarves around herself.,A person is wearing a tuxedo with a top hat.,0
2610,2610,entailment,Eight tan children making faces in a tree,Eight children are outside.,1
2611,2611,neutral,A woman is grabbing a guy's foot and putting it behind his head.,The woman grabbing the guy's foot is his wife.,2
2612,2612,contradiction,A person jumping off a rock formation in the desert.,Kangaroo hopping in a rain forest tree.,0
2613,2613,entailment,white bird sitting in water spreading its wings,A bird is sitting in the water.,1
2614,2614,contradiction,Two men are standing near Pike Place Market while a couple in the background takes a wedding picture.,The men are in the background taking a wedding picture.,0
2615,2615,entailment,"A little boy holding a yellow, plastic shovel, crouches in the sand.",a boy holds a shovel,1
2616,2616,neutral,An impromptu toast among friends.,friends are thinking,2
2617,2617,neutral,A pile of rocks and a group of people around it.,A pile of rocks with weird markings on them caused people to gather around it.,2
2618,2618,contradiction,Two older gentlemen having coffee or tea and a serious discussion.,The men are drinking soda.,0
2619,2619,neutral,A fitness trainer is working with a man on an athletic machine.,A fitness trainer is encouraging a man to work harder.,2
2620,2620,contradiction,A girl in dark blue baseball uniform throws a ball while two other baseball players runs around.,A girl in a blue baseball uniform stands at home plate holding a bat,0
2621,2621,entailment,A man speaks into a microphone being held by another man.,Two men cooperate with each other.,1
2622,2622,entailment,Two people are facing each other on the corner of a street.,The two people are outdoors,1
2623,2623,entailment,A man in yellow shorts is leaping in the air to catch a frisbee.,The frisbee is in the air.,1
2624,2624,neutral,Front view of a conductor at a symphony concert with the players behind him.,There were 16 players.,2
2625,2625,contradiction,A person in sarong walks toward several blue outdoor umbrellas while carrying a tan bag.,The person is wearing a prom dress.,0
2626,2626,neutral,A man holding a young child on a tree branch.,Young child is in trouble and need help to get down from a tree branch.,2
2627,2627,entailment,A man with a headset is rummaging through hay.,There is a person with a headset.,1
2628,2628,contradiction,A bewildered child examines a peculiar plant.,The plant is eating the child's cupcake.,0
2629,2629,entailment,A skateboarder in a white t-shirt and blue cap rolls down the street.,A skateboarder is riding his board down the street.,1
2630,2630,neutral,A young woman having a Limoncello drink with friends.,People drinking together.,2
2631,2631,entailment,Man surfing with a seagull in the foreground.,The man is on the water.,1
2632,2632,contradiction,a restaurant setting inside a building where people are currently dining.,People are eating at an outdoor table.,0
2633,2633,entailment,Multiple females sitting indian-style doing what appears to be textile work.,Women are working.,1
2634,2634,neutral,A man is using a wheel to create pottery.,An artist is creating pottery.,2
2635,2635,neutral,Three people are walking and two people are jogging along a cleared path near several trees.,A group of people are walking through a path to get to the store.,2
2636,2636,entailment,A male college student wearing a red shirt is looking through a microscope while two of his classmates watch.,a guy weearing a red top looks through a tube near two others,1
2637,2637,contradiction,A black dog with a red collar wading through the water.,A white dog is running through the grass.,0
2638,2638,neutral,Two people jousting with lances and shields on horses while people watch from under a tent and outside of the tent.,There is a jousting competition going on.,2
2639,2639,neutral,A baseball player in a Yankees uniform is holding a bat in one hand,The Yankees' third baseman starts to drop the bat before running to first base.,2
2640,2640,entailment,The nurse smiles as she gently rubs the tummy of the sleeping child.,The sleeping child is in the hospital.,1
2641,2641,neutral,A group of people are sitting in an auditorium.,the group is awaiting a lecture on proper wand safety,2
2642,2642,neutral,A little girl in a bright pink shirt.,A little girl is happy.,2
2643,2643,entailment,A cyclist rides in front of onlookers dressed in white and red gear.,A cyclist wearing red and white is riding a bike in front of others.,1
2644,2644,contradiction,A child in a sweatshirt and jean skirt squatting.,A child falls into the water.,0
2645,2645,contradiction,"Two guys doing stunt jobs with bikes, possibly at X Games event",Men are racing cars down the street.,0
2646,2646,neutral,Group of three men and women in their late 20s watching an older man play guitar in the park.,A group of people are at a concert outdoors,2
2647,2647,entailment,Girl in pigtails playing with a camera tripod while a woman watches with a coffee cup.,The girl is taking pictures.,1
2648,2648,neutral,"There are two people rock climbing, one is on the ground while the other climbs.",Two rock climbers on the rocks for the first time,2
2649,2649,neutral,A snowboarder wearing a red jacket is going down a mountain.,Sean White is wearing a red jacket and snowboarding down a black diamond trail.,2
2650,2650,contradiction,A dark-skinned man wearing some sort of traditional garment is pouring a grain into a pot over a fire.,a man swims in a city pool,0
2651,2651,neutral,A child walking in the snow.,A child is lonely,2
2652,2652,entailment,Dejected man sits crossed-legged with head in hands.,A sad man sitting with his head in his hands.,1
2653,2653,neutral,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person that is hungry.,2
2654,2654,entailment,A man in a blue shirt holding up a ceiling on a construction site.,a guy is holding up the ceiling,1
2655,2655,contradiction,A male driving a bulldozer to plow green grass and rocks,The man is driving in the street.,0
2656,2656,entailment,A middle-aged woman cooking while her dog watches.,A woman is cooking.,1
2657,2657,contradiction,A man in a black cowboy hat holds on as his horse rears up.,A man is riding a bull.,0
2658,2658,neutral,A darkly clad musician gives a focused look as he views his instrument.,A musician examines the broken string on his instrument.,2
2659,2659,contradiction,Young person holding a red and black fan in front of a martial arts class.,A young person practicing martial arts moves with their class mates.,0
2660,2660,contradiction,A skateboarder skating up a cement ramp.,There is a skateboarder skating in the grass.,0
2661,2661,neutral,A three-man band performs.,The band players are making music,2
2662,2662,entailment,a dog tugs on his red leash.,A dog is on a leash.,1
2663,2663,entailment,This is a woman with her back turned wearing a red coca-cola shirt cooking at a stove while displaying some of her delicious dishes on the counter.,The woman is in a red shirt.,1
2664,2664,contradiction,A German Shepherd carries a small log in the water.,The dog is chasing a squirrel.,0
2665,2665,entailment,An old man dressed in med-evil clothing holds an axe while standing on a hill.,A human is outdoors.,1
2666,2666,entailment,A man in a tuxedo plays a brass instrument in accompaniment with a female piano player.,The man is playing music.,1
2667,2667,contradiction,Three men in white shirts dance and sing on a stage as a group of women watch from the sidelines.,The men are grilling hot dogs on a barbecue.,0
2668,2668,entailment,"A woman in a black shirt, and white shoes talking on a phone.",SHe is talking to someone.,1
2669,2669,contradiction,3 people sitting at a table talking,Three people are singing karaoke.,0
2670,2670,contradiction,Three people are standing two are women playing instruments the women are dressed in robes with a stained glass window behind them.,the people are running through fire,0
2671,2671,contradiction,A man is sitting on the roof.,A man is sitting on the porch.,0
2672,2672,contradiction,A woman in a pink shirt examines her camera.,A group of skiers blurred by a blizzard.,0
2673,2673,neutral,bride and groom walking side by side out of focus on pathway next to brick building.,A married couple is walking next to a building.,2
2674,2674,contradiction,Two young women proudly pose with the snowman they completed.,The girls are sunbathing at the beach,0
2675,2675,contradiction,Two men are sitting in their seats with a girl between them.,A girl sits at the end of a bench next to her mom and dad.,0
2676,2676,neutral,"A woman and child fly soar through the air, seated on an amusement park ride.",A woman is looking unhappy at a ride.,2
2677,2677,contradiction,A dog runs on the beach with a red dog toy with a yellow rope attached.,a man shaving his legs,0
2678,2678,neutral,a boy and a girl stand in front of a house.,two kids are in love,2
2679,2679,entailment,"A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.",There is a person playing an instrument.,1
2680,2680,neutral,A woman is holding a stop sign and wearing an orange crossing guard vest and hat.,The woman is protecting the small children.,2
2681,2681,entailment,A group of men in a blue car driving on the track.,There is a group of men.,1
2682,2682,entailment,A blond woman is playing drums with band members.,A woman is playing drums with band members.,1
2683,2683,contradiction,"The Houston Texans quarterback is executing a play-action play with the running back against the NFC North-worst Minnesota Vikings, who are big rivals with the elite Green Bay Packers.",a guy in his recliner watches basketball,0
2684,2684,neutral,"A man and his friend hiking in a mountain near Bakersfield, California.",Two men are hiking in a peak or mountain,2
2685,2685,neutral,A woman is sorting white tall candles as a man in a green shirt stands behind her.,A lady is arranging candles while a man in a green dress helps her out.,2
2686,2686,contradiction,Man in business suite leaning on lion statue.,"This tycoon just paid all his taxes, reduced his salary, and gave the custodian a raise.",0
2687,2687,neutral,A young man is sitting at the base of a tree by a tree lined road.,A boy is sleeping under a tree,2
2688,2688,entailment,Person with an orange backpack watching the surrounding hills.,There is a person outside.,1
2689,2689,contradiction,a large group of people participate in an AIDS walk located in New York State.,A large group of people working to repair a bridge.,0
2690,2690,entailment,The indian couple mingle at the party.,The indian couple enjoy the time in party,1
2691,2691,neutral,"A young boy and a young girl ride a bicycle down a street, with dirt and small trees around them.",The boy is chasing the girl on their bikes.,2
2692,2692,entailment,A man in a white button up shirt smiling and laughing at the camera.,The man is smiling.,1
2693,2693,contradiction,Two girls in matching costumes are holding drumsticks.,The two girls have both of their hands free.,0
2694,2694,contradiction,A man in a black jacket in jeans takes a photograph of a man posing on the street in a silver suit.,A man dressed in silver suit horridly crossed the road to get to work early,0
2695,2695,contradiction,A dog drags a white rag through an almost-dried up creek.,A dog is lying near the creek.,0
2696,2696,contradiction,Two older men are sitting on a bench having a conversation.,the men are in the car,0
2697,2697,neutral,Four children playing on a tent-like structure,The children are laughing.,2
2698,2698,contradiction,Gray horse wearing blue cover eating from a orange bucket held by a person in a green shirt.,The Gray horse was drinking water.,0
2699,2699,neutral,An old woman with a flowered print dress stirring some type of food in large barrels.,A senior citizen is cooking for a large group of people.,2
2700,2700,neutral,A boy is playing a game with his friends.,A sad boy is playing a game with his friends.,2
2701,2701,entailment,"A man and a woman is standing near a table with cakes one of the cakes are pink with pink and yellow decorations, they have several people in the background.",A man and woman stand near a table of cakes among a crowd of people.,1
2702,2702,entailment,The airplane is being photographed from above.,The airplane is being photographed.,1
2703,2703,entailment,Three girls play in the sand.,Three girls are in the sand.,1
2704,2704,entailment,A girl doing a split handstand on the beach during the day with a amusement park in the background.,A girl is outside near the amusement park.,1
2705,2705,contradiction,An old woman with a flowered print dress stirring some type of food in large barrels.,An older lady is sitting in her wheelchair knitting a scarf.,0
2706,2706,neutral,a kid is stretching his food out of his mouth.,A kid is eating food grossly.,2
2707,2707,contradiction,An Asian woman with a conical hat does her washing next to a small waterfall.,The woman is preparing a table.,0
2708,2708,contradiction,Two teammates are guarding another man in a game of basketball.,They are playing tennis,0
2709,2709,contradiction,A young boy in a blue shirt stands in the middle of hundreds of watermelon with four other people and a red truck in the background.,A young boy is indoors playing Xbox,0
2710,2710,neutral,A festival is going on in the streets.,It is a holiday in the city,2
2711,2711,entailment,A man in a blue shirt hikes through a nature trail.,The man is outside.,1
2712,2712,neutral,A young boy colors on small sheets of paper.,A boy is in a classroom.,2
2713,2713,contradiction,A blond tennis player gets ready to return the ball.,A person playing basketball.,0
2714,2714,contradiction,An athletic woman sprints off the starting blocks on a track.,Men polevault.,0
2715,2715,neutral,The white dog jumps for an object thrown by his master.,The dog is chasing a ball.,2
2716,2716,entailment,"A tall, dark-haired man in white sport coat and black slacks is walking along a tiled mosaic crosswalk of various colors and designs beside a woman with short, dark hair who is also wearing a white sport coat but with blue jeans.","A tall, dark-haired man has a white sport coat.",1
2717,2717,neutral,a man and a woman are about to kiss,a man and a woman are about to kiss in the moonlight.,2
2718,2718,neutral,A woman sitting in a chair on the sidewalk stretching her arms out.,A woman in a wheel chair exercises her arms.,2
2719,2719,entailment,"Two men inspecting and fixing the tire of a red framed, yellow forked bike with the bike seat towards the ground.",Two men are inspecting a bike.,1
2720,2720,contradiction,Two soldiers at an event center are watching a woman in a red shirt do push ups while another soldier leans over here.,A family attends a circus.,0
2721,2721,neutral,A person standing in the ocean.,A lady standing in the Atlantic Ocean.,2
2722,2722,contradiction,Someone sitting in the tree in the dark.,A young man sitting in a tree while the sun is shining.,0
2723,2723,contradiction,three boys play volleyball on a busy beach.,The boys are making a sandcastle.,0
2724,2724,entailment,A man in a yellow shirt and striped pants is sitting at a small table outside.,A man is wearing clothing and sitting outside.,1
2725,2725,neutral,Two woman in brown coats in the background of a woman walking toward the front of the picture.,A woman approaches her two friends in an art gallery.,2
2726,2726,entailment,A happy woman and her son enjoying a moment together on a cool day at the rock shoreline of a lake.,A woman and her son are outdoors.,1
2727,2727,contradiction,A large group of people in shorts walk outside in front of a capitol building.,People are inside a building.,0
2728,2728,contradiction,A woman in a brown shirt with her hair tied behind her head is looking through a rather large microscope.,A woman is reading a book about viruses.,0
2729,2729,neutral,A dog walking along a canal and his reflection is on the water.,There are animals walking outdoors in warm weather,2
2730,2730,entailment,Several young people play a board game using a large blanket in a grassy field.,Several young people play a board game using a large blanket in a grassy field.,1
2731,2731,neutral,A group of people pass by a subway station.,the tour group is on the bus,2
2732,2732,entailment,A girl in a red shirt and a guy in a black shirt are sitting on the front porch talking.,Two people are talking,1
2733,2733,contradiction,Several women and men are lifting their arms straight up above their heads.,People cross their arms together,0
2734,2734,entailment,An older man places a wooden crate on top of a stack of wooden crates.,A man stacking crates.,1
2735,2735,contradiction,A little girl smiling in a colorful knitted hat.,The little girl is angry,0
2736,2736,contradiction,A man speaking on a cellphone while smoking outdoors.,Sandy was texting Judy.,0
2737,2737,entailment,Parade participant is enjoying the crowd.,There is a parade,1
2738,2738,entailment,A crowd of people looking at two guys on motorcycles.,A group is watching motor cyclers,1
2739,2739,entailment,Two workers on skis are pulling a rescue sled in the snow surrounded by trees.,The workers are pulling a rescue sled in the snow.,1
2740,2740,contradiction,A person plays with a mega joule contraption consisting of wire tracks and colored balls.,The joules are ruining her love life.,0
2741,2741,neutral,A small car in an open field.,A small car was abandoned in the middle of a farmer's field.,2
2742,2742,neutral,A little boy is hiding underneath a table on the street that is displaying fruit.,The boy is at a market.,2
2743,2743,contradiction,A person in warm clothing fishes off a wall.,A nude man fishes off a wall.,0
2744,2744,neutral,The brown dog is laying down on a blue sheet.,The dog is laying on the street.,2
2745,2745,neutral,Three young girls chapping and texting on a cellphone.,The girls are ten years old.,2
2746,2746,contradiction,A group of runners standing in front of a red car in Europe.,A group of cyclists sit in front of a bike store.,0
2747,2747,entailment,4 people play soccer,A group of people are playing a sport.,1
2748,2748,contradiction,"A group of Asian people in decorative dress smile, and walk happily in a parade.",A few Indian people in smile and dance.,0
2749,2749,contradiction,Group of cyclists in riding gear with helmets.,The cyclists lost their helmets,0
2750,2750,entailment,Two toddlers are sitting in a colorful playpen.,Two toddlers together in a playpen.,1
2751,2751,contradiction,A young boy has his hand covering his eyes and is leaning his head against a red brisk wall.,The girl covered her mouth.,0
2752,2752,neutral,a boy in a yellow shirt is running in a race,A boy is running towards the finish line while his classmates run behind him.,2
2753,2753,contradiction,"A young male child with curly brown hair, hiding behind a cardboard box in a vegetable vendor's market.",The boy was in plain sight,0
2754,2754,neutral,BMXer in the air with motion blur on the forest background.,The BMXer hit his final jump before crashing in the forest.,2
2755,2755,neutral,The bridal party is posing for a picture with the lake in the background.,The wedding photos are being taken outside in the winter.,2
2756,2756,contradiction,A man is sitting in a red semi truck.,A man sleeping in his broken down blue truck.,0
2757,2757,contradiction,asian boys play on a raft in a lake,A herd of cows are eating some hummus.,0
2758,2758,contradiction,A man on a boat feeding many water birds and two parents in chairs with their little girl on the side.,The people are inside watching television.,0
2759,2759,neutral,a lone bicyclist jumping in the air over a ramp.,A man performs a stunt on a bicycle.,2
2760,2760,entailment,A man in a black jacket in jeans takes a photograph of a man posing on the street in a silver suit.,A well dressed man in silver suits poses for a photographer in black jacket and jeans,1
2761,2761,entailment,A man with facial hair and a red and gray shirt tugging on a piece of rope.,A man has facial hair.,1
2762,2762,entailment,An elderly woman sitting in the window of a stone building,A woman is indoors.,1
2763,2763,entailment,"A girl takes off her socks, as she sneaks back into the house through her bedroom window.",The girl is near the house.,1
2764,2764,contradiction,The man is pitching a baseball on a dirt mound.,A man is pitching a cricket ball.,0
2765,2765,contradiction,Children getting sprayed by water in a parking lot.,The children are on fire.,0
2766,2766,entailment,a man standing next to an oddly designed bike,A man is standing next to a bike.,1
2767,2767,neutral,"A woman in a Men's Health hat, wearing a red tank top, sits on the ground eating food with an unopened soda and tree covered hills in the background.",A woman is wearing a tank top,2
2768,2768,entailment,A ballet company with a man and woman posing surrounded by several other women.,A mixed gender ballet company.,1
2769,2769,entailment,Soccer fans supporting their team in the crowd.,Soccer fans support their team.,1
2770,2770,entailment,Four construction workers gathered around a hole looking in a bucket.,There are four people near a hole,1
2771,2771,contradiction,3 people skydiving holding hands with the one in the middles mouth wide open,Some kids are jumping rope.,0
2772,2772,contradiction,Two Indian men in all white clothing sit near the sea while playing a drum and sitar.,Two people make dinner in the kitchen.,0
2773,2773,neutral,A boy is fixing the wheel of his bike.,A sad boy is fixing the wheel of his bike.,2
2774,2774,contradiction,"Three women are playing softball, one of them is running the bases and two are playing defense.",Three women chat while getting their nails done.,0
2775,2775,entailment,A boy is jumping off a playground slide as his friends watch.,A boy is showing his friends how well he can jump off the slide at the playground.,1
2776,2776,entailment,A skateboarder leaping from a pool in front of a crowd.,While skating in a pool the skateboarder is leaping from the pool in front of a crowd,1
2777,2777,neutral,A wedding party files into a building.,Two brides in white and all their bridesmaids in lime green enter the church.,2
2778,2778,contradiction,A white dog in a blue leaps over a man in a blue outfit with yellow stars in order to catch a Frisbee whilst people stand by and watch.,boy golfs,0
2779,2779,neutral,A man in a black t-shirt jogging on the treadmill while listening to music.,The man is humming along to the music while his body stays in sync with the beat.,2
2780,2780,neutral,A group of young people are watching a man on a dirt bike performing a stunt in the air.,children are watching the man also,2
2781,2781,entailment,Medical staff looks on as a medical procedure takes place on a video monitor.,A medical staff looks on as a procedure takes place.,1
2782,2782,contradiction,a young blond boy smiling standing on a staircase,A young blond boy runs up the stairs screaming.,0
2783,2783,contradiction,Guy in jeans and black jacket walking along grass and trees with the city in the background.,The woman jogged in the grass.,0
2784,2784,contradiction,A dog with its mouth open running through a field torwards the camera.,The cat is looking out the window.,0
2785,2785,neutral,Spectators watch a classical music concert.,The music at the concert is pleasant,2
2786,2786,neutral,An old man is walking with his head down.,The sad man walked with his head down.,2
2787,2787,contradiction,This picture depicts looking up at a rock climber.,Someone is looking down at a cockroach.,0
2788,2788,neutral,An old man walks out of a building.,A old guy is walking away real fast.,2
2789,2789,entailment,A low angle view of a woman in slim black pants and a sweater in a pose where she has just thrown a bowling ball.,A woman is bowling.,1
2790,2790,neutral,"A woman in a black stocking hat and black leather jacket, talking to a man with a beard in a black fleece jacket.",There is a woman in a black hat and black jacket flirting with a man in a black jacket.,2
2791,2791,entailment,Funky bicycle being raced,A bicycle is being raced.,1
2792,2792,contradiction,Man in green shirt and cargo khakis standing next to a green jeep.,There is a man sitting next to a green jeep,0
2793,2793,contradiction,"Four men sit cross legged on top of a blue, yellow, and white rug, smiling at the camera.","Four men sit cross legged on top of a black, crimson, and green rug, smiling at the camera.",0
2794,2794,contradiction,A young girl in a red jacket and a man in a blue and white shirt are watching a woman in black who is holding a white object in her hands.,Everyone in the image is male.,0
2795,2795,contradiction,Three guys talking to each on the beach.,Three guys are talking about the beach from an airplane.,0
2796,2796,contradiction,A couple admiring colorful artwork on a building.,The couple is inside the building.,0
2797,2797,neutral,A man in a red shirt is throwing a frisbee while another man wearing a white t-shirt is trying to stop him from making the throw.,A man in red prepares to throw a frisbee at a window to break it.,2
2798,2798,neutral,Brown and white dog jumps over purple and white bar.,The brown and white dog is receiving training.,2
2799,2799,entailment,"A man wearing a helmet, red pants with white stripes going down the sides and a white and red shirt is on a small bicycle using only his hands while his legs are up in the air, while another man wearing a light blue shirt with dark blue trim and black pants with red stripes going up the sides is standing nearby, gesturing toward the first man and holding a small figurine of one of the seven dwarves.",The people who are shown are not all doing the exact same thing.,1
2800,2800,neutral,A beautiful woman is posing for a photo by a plant.,The woman is smiling for the photo.,2
2801,2801,contradiction,A young man in handcuffs is being placed in backseat of cop car.,The young man is driving a Land Cruiser.,0
2802,2802,entailment,A young boy wearing a dark blue jacket and hat is holding a gold and white dog in his arms and kneeling by a metal fence in the snow.,A boy holds a dog in the snow.,1
2803,2803,neutral,A man and a woman in an orange shirt are sitting on a rock and looking at the view of the trees and the hills.,A couple enjoy the woods on their vacation.,2
2804,2804,entailment,A man playing ultimate frisbee makes a diving catch.,A man makes an exciting frisbee catch.,1
2805,2805,neutral,A greyhound wearing number 8 is racing.,Santa's little helper is racing.,2
2806,2806,entailment,A young child getting ready to play football.,A child is preparing.,1
2807,2807,entailment,"A blue-eyed woman with red-hair and glasses looks up at the camera while holding a hamburger with a bite out of it, as she sits on a boat with four other young people who are drinking and eating.",The woman is eating a hamburger.,1
2808,2808,contradiction,Man in blue shirt is hitting a stump of wood with an axe.,The woman is clipping her nails,0
2809,2809,neutral,Two men relaxing in a bakery,There are two men enjoying a pastry.,2
2810,2810,entailment,A young couple gaze into each others eyes while riding an escalator in a shopping mart.,The couple are together.,1
2811,2811,entailment,A woman running along a street in black shorts and a red halter in a competition.,A lady jogging through the road in a race.,1
2812,2812,entailment,Two women are looking at something on a street where many other people are as well.,There is something on the street.,1
2813,2813,contradiction,A man and woman sitting on a parked car.,Two strangers are sitting on the ground.,0
2814,2814,neutral,The man in the gray shirt is juggling sports equipment.,a clown juggling,2
2815,2815,contradiction,A little girl in a red tracksuit is throwing a Frisbee,A naked child is playing.,0
2816,2816,entailment,People from an African tribe are gathered outside.,African people are gathered outside,1
2817,2817,neutral,A seductive bartender mixing a large drink at a nightclub.,The bartender is seducing the customer.,2
2818,2818,neutral,A man in a white tank shirt holds a laptop while sitting next to a white column with a statue on top of it.,A tall man holds something,2
2819,2819,neutral,They are riding a bike and talking at the same time.,The people are riding down a biking trail.,2
2820,2820,contradiction,Two young boys wander through a crowd wearing bright yellow shirts.,The two boys are swimming in the ocean.,0
2821,2821,neutral,The old man stabs his wooden rake into a small pile of cut grass.,There are several small piles of cut grass.,2
2822,2822,entailment,A man wearing jeans and a t-shirt plays guitar for a smiling woman and child as they sit on a staircase near red and orange balloons.,A woman and child listen to a guitar player.,1
2823,2823,entailment,A man pours water on plants in a vast field of small plants.,A man waters plants,1
2824,2824,neutral,Protesters assemble to promote the clean air act.,All the protesters know eachother.,2
2825,2825,neutral,A child with her hair tied is smiling.,the toddler likes to be dressing,2
2826,2826,neutral,A man smoking a cigar poses with another man in front of cigars in a display case.,The owners of a cigar store pose for a photo.,2
2827,2827,neutral,"A young female food preparer under a green, yellow, and white umbrella prepares a fancy meal, with a flambe dish in front of her and a crowd behind her.",The crowd is gathered to watch her.,2
2828,2828,neutral,An older woman dressed in pink with a black fanny pack is outside with some trees and an interesting architectural design next to her.,Grandma at Disney world waits for the kids to get off a ride.,2
2829,2829,entailment,A kid in a gray sweatsuit is getting out a trivial pursuit game.,A kid is getting ready to play a game.,1
2830,2830,neutral,A man and woman with name tags on chat with others in a hotel lobby.,A man and a woman are talking about politics in the hotel.,2
